basic_tfactortx_id;basic_gene_symbol;basic_ensembl_gene_id;basic_hgnc_id;basic_ncbi_gene_id;basic_protein_name;basic_uniprot_id;basic_jaspar_url;basic_open_targets_url;basic_tf_superclass;basic_tf_class;basic_tf_family;sort_disease_ot_ard_aging_sum_rank;sort_disease_ot_ard_aging_overall_rank;sort_disease_ot_total_assoc_score_rank;sort_disease_ot_ard_total_assoc_count_score_rank;sort_aging_summary_total_db_entries_count_rank;sort_dev_summary_dev_level_category;disease_ot_total_assoc_count;disease_ot_total_assoc_score;disease_ot_total_assoc_count_norm;disease_ot_total_assoc_score_norm;disease_ot_lowconf_count;disease_ot_lowconf_score;disease_ot_lowconf_count_norm;disease_ot_lowconf_score_norm;disease_ot_modconf_count;disease_ot_modconf_score;disease_ot_modconf_count_norm;disease_ot_modconf_score_norm;disease_ot_hiconf_count;disease_ot_hiconf_score;disease_ot_hiconf_count_norm;disease_ot_hiconf_score_norm;disease_ot_ard_disease_count;disease_ot_ard_total_score;disease_ot_ard_disease_count_norm;disease_ot_ard_total_score_norm;disease_ot_ard_strongest_linked_disease;disease_age-related hearing impairment;disease_age-related macular degeneration;disease_Alzheimer disease;disease_atherosclerosis;disease_benign prostatic hyperplasia;disease_cancer;disease_chronic obstructive pulmonary disease;disease_heart failure;disease_Ischemic stroke;disease_myocardial infarction;disease_non-alcoholic fatty liver disease;disease_osteoarthritis;disease_Osteoporosis;disease_Parkinson disease;disease_sarcopenia;disease_type 2 diabetes mellitus;aging_summary_total_db_entries_count;aging_summary_total_db_entries_count_norm;aging_summary_human;aging_summary_mm_influence;aging_summary_ce_influence;aging_summary_dm_influence;aging_PMID35343830_ce;aging_PMID35343830_dm;aging_PMID35343830_mm;aging_PMID35343830_human;aging_hagr_genage_human_inclusion;aging_hagr_genage_ce_influence;aging_hagr_genage_dm_influence;aging_hagr_genage_mm_influence;aging_hagr_cellage_effect;aging_hagr_longevitymap_entries;aging_agingreg_human_influence;aging_senequest_total_entries;aging_opengenes_ce_influence;aging_opengenes_dm_influence;aging_opengenes_mm_influence;aging_opengenes_human_longevity_assoc;dev_summary_total_db_entries_count;dev_summary_dev_level_category;dev_summary_dev_level_category_note;dev_pharos_tcrd_tdl;dev_dgidb_all_drugs;dev_dgidb_MOA_drugs;dev_ttd_approved_drugs;dev_chembl_target_id;dev_chembl_target_name;dev_chembl_target_type;dev_chembl_compounds;dev_chembl_activites;dev_chembl_drug_count;dev_chembl_max_phase;dev_chembl_modality_list;dev_chembl_first_approval_min
TFTX_0983;TP53;ENSG00000141510;HGNC:11998;7157;Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53);P04637;https://jaspar.elixir.no/search?q=P04637;https://platform.opentargets.org/target/ENSG00000141510;6 Immunoglobulin fold;6.3 p53 domain factors;6.3.1 p53-related;6;1;1;4;1;2_Medium;3113;271.27;1;1;2555;73.77;1;1;481;149.77;1;1;77;47.72;0.77;0.83;16;2.66;1;0.68;Cancer;0.002751317;0.087417089;0.490947142;0.026461422;0.306567903;0.67821354;0.103413333;0.050052823;0.022237383;0.043272632;0.097875673;0.042683981;0.076932138;0.477067265;0.046718779;0.107137249;15;1;Y;Unclear;Anti-Longevity;Unclear;Anti-Longevity;Anti-Longevity;Anti-Longevity;Unclear;mammal,model,cell;Anti-Longevity;Anti-Longevity;Pro-Longevity;Induces;22;Unclear;252;#N/A;Unclear;Unclear;1;11;2_Medium;At least 2/3 Pharos Tchem, DGIDB MOA >0, ChEMBL max phase >0;Tchem;547;10;#N/A;"CHEMBL1907611;CHEMBL4096";"Tumour suppressor p53/oncoprotein Mdm2;Cellular tumor antigen p53";"PROTEIN-PROTEIN INTERACTION;SINGLE PROTEIN";"1601;36488";"2107;48517";"4;2";"3;3";"Small molecule;Gene;Small molecule";#N/A
TFTX_0649;NR3C1;ENSG00000113580;HGNC:7978;2908;Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1);P04150;https://jaspar.elixir.no/search?q=P04150;https://platform.opentargets.org/target/ENSG00000113580;2 Zinc-coordinating DNA-binding domains;2.1 Nuclear receptors with C4 zinc fingers;2.1.1 Steroid hormone receptors;34;3;2;1;31;1_High;1542;205.67;0.5;0.76;1101;36.95;0.43;0.5;341;111.12;0.71;0.74;100;57.6;1;1;15;3.94;0.94;1;Chronic Obstructive Pulmonary Disease;#N/A;0.373786613;0.380842107;0.042350252;0.023231478;0.608714787;0.704554696;0.297470955;0.354720175;0.079302759;0.025410065;0.60829303;0.009345651;0.326272871;0.006624308;0.096226198;5;0.33;Y;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;downstream;Unclear;#N/A;#N/A;#N/A;2;#N/A;3;#N/A;#N/A;#N/A;1;13;1_High;At least 2/3 Pharos Tclin, TTD approved drugs, ChEMBL approved drugs;Tclin;234;74;21;CHEMBL2034;Glucocorticoid receptor;SINGLE PROTEIN;5548;15052;75;4;"Small molecule;Unknown";1950
TFTX_0935;TET2;ENSG00000168769;HGNC:25941;54790;Methylcytosine dioxygenase TET2 (EC 1.14.11.n2);Q6N021;#N/A;https://platform.opentargets.org/target/ENSG00000168769;0 Yet undefined DNA-binding domains;0.0 Uncharacterized;0.0.0 Uncharacterized/Undefined;450;82;3;9;438;4_Low;1197;159.92;0.38;0.59;856;36.75;0.34;0.5;292;93.88;0.61;0.63;49;29.29;0.49;0.51;13;1.96;0.81;0.5;Chronic Obstructive Pulmonary Disease;#N/A;0.001478319;0.293915737;0.051351421;0.009054706;0.422029353;0.485356395;0.188620182;0.023019041;0.014545521;0.013089287;#N/A;0.01185489;0.074941776;#N/A;0.366803211;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tchem;13;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0206;ESR1;ENSG00000091831;HGNC:3467;2099;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1);P03372;https://jaspar.elixir.no/search?q=P03372;https://platform.opentargets.org/target/ENSG00000091831;2 Zinc-coordinating DNA-binding domains;2.1 Nuclear receptors with C4 zinc fingers;2.1.1 Steroid hormone receptors;39;4;4;14;21;1_High;2370;150.27;0.76;0.55;2104;55.76;0.82;0.76;239;78.33;0.5;0.52;27;16.18;0.27;0.28;16;1.83;1;0.47;Cancer;0.001478319;0.013235681;0.367587958;0.09116261;0.084777785;0.49224302;0.018166816;0.015786477;0.048859535;0.309921957;0.048627778;0.043954918;0.113764413;0.08146098;0.014539411;0.086428268;6;0.4;Y;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;upstream;Unclear;#N/A;#N/A;Inhibits;1;#N/A;6;#N/A;#N/A;#N/A;1;13;1_High;At least 2/3 Pharos Tclin, TTD approved drugs, ChEMBL approved drugs;Tclin;376;53;37;"CHEMBL206;CHEMBL2093866";"Estrogen receptor alpha;Estrogen receptor";"SINGLE PROTEIN;PROTEIN FAMILY";"9170;1789";"18287;3070";"22;25";"4;4";"Small molecule;Small molecule;Unknown";"1947;1942"
TFTX_0367;HNF1A;ENSG00000135100;HGNC:11621;6927;Hepatocyte nuclear factor 1-alpha (HNF-1-alpha) (HNF-1A) (Liver-specific transcription factor LF-B1) (LFB1) (Transcription factor 1) (TCF-1);P20823;https://jaspar.elixir.no/search?q=P20823;https://platform.opentargets.org/target/ENSG00000135100;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.10 POU;1189;342;5;16;1168;4_Low;1046;145.27;0.34;0.54;728;27.16;0.28;0.37;280;96.43;0.58;0.64;38;21.68;0.38;0.38;11;1.79;0.69;0.45;Type 2 Diabetes Mellitus;#N/A;#N/A;0.011197859;0.009204448;#N/A;0.102696617;0.005004727;#N/A;0.058917189;0.438573473;0.359398898;0.002217479;0.008479804;0.002217479;#N/A;0.791354694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tbio;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0729;PPARG;ENSG00000132170;HGNC:9236;5468;Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3);P37231;https://jaspar.elixir.no/search?q=P37231;https://platform.opentargets.org/target/ENSG00000132170;2 Zinc-coordinating DNA-binding domains;2.1 Nuclear receptors with C4 zinc fingers;2.1.2 Thyroid hormone receptor-related factors;15;2;6;3;6;1_High;1681;129.3;0.54;0.48;1406;39.42;0.55;0.53;262;81.99;0.54;0.55;13;7.89;0.13;0.14;16;2.68;1;0.68;Type 2 Diabetes Mellitus;0.008869917;0.031706548;0.408983426;0.39309667;0.039803335;0.12638859;0.086670552;0.027195647;0.048429006;0.068771366;0.419593978;0.035684881;0.053664394;0.087226065;0.004723847;0.840020612;10;0.67;Y;Pro-Longevity;Unclear;#N/A;#N/A;#N/A;Pro-Longevity;Unclear;functional;Unclear;#N/A;Pro-Longevity;Induces;4;#N/A;16;#N/A;#N/A;Pro-Longevity;1;13;1_High;At least 2/3 Pharos Tclin, TTD approved drugs, ChEMBL approved drugs;Tclin;144;36;5;"CHEMBL235;CHEMBL3559683";"Peroxisome proliferator-activated receptor gamma;Peroxisome proliferator-activated receptor";"SINGLE PROTEIN;PROTEIN FAMILY";"8010;85";"15429;137";"30;5";"4;4";"Small molecule;Small molecule";1987
TFTX_0789;RUNX1;ENSG00000159216;HGNC:10471;861;Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit);Q01196;https://jaspar.elixir.no/search?q=Q01196;https://platform.opentargets.org/target/ENSG00000159216;6 Immunoglobulin fold;6.4 Runt domain factors;6.4.1 Runt-related;247;36;7;188;52;4_Low;1266;110.21;0.41;0.41;1055;37.14;0.41;0.5;191;61.41;0.4;0.41;20;11.65;0.2;0.2;15;0.57;0.94;0.15;Cancer;#N/A;0.002751317;0.024583125;0.009786975;0.003695799;0.112714379;0.07087275;0.033219365;0.007391597;0.102418667;0.0950888;0.05092806;0.038492606;0.002936107;0.004791808;0.014210618;4;0.27;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;Induces;#N/A;Unclear;5;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tbio;35;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0022;AR;ENSG00000169083;HGNC:644;367;Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4);P10275;https://jaspar.elixir.no/search?q=P10275;https://platform.opentargets.org/target/ENSG00000169083;2 Zinc-coordinating DNA-binding domains;2.1 Nuclear receptors with C4 zinc fingers;2.1.1 Steroid hormone receptors;58;6;8;19;31;1_High;1900;107.83;0.61;0.4;1724;45.69;0.67;0.62;154;48.02;0.32;0.32;22;14.12;0.22;0.25;15;1.68;0.94;0.43;Cancer;#N/A;0.023725744;0.104357926;0.054099558;0.313450765;0.420142088;0.080252995;0.099323788;0.018986816;0.025674115;0.027441183;0.006821405;0.038989059;0.019513975;0.104070853;0.342186767;5;0.33;Y;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;upstream;#N/A;#N/A;#N/A;Induces;#N/A;Anti-Longevity;2;#N/A;#N/A;Pro-Longevity;#N/A;13;1_High;At least 2/3 Pharos Tclin, TTD approved drugs, ChEMBL approved drugs;Tclin;1008;82;18;CHEMBL1871;Androgen Receptor;SINGLE PROTEIN;5994;12499;42;4;Small molecule;1953
TFTX_0535;MLXIPL;ENSG00000009950;HGNC:12744;51085;Carbohydrate-responsive element-binding protein (ChREBP) (Class D basic helix-loop-helix protein 14) (bHLHd14) (MLX interactor) (MLX-interacting protein-like) (WS basic-helix-loop-helix leucine zipper protein) (WS-bHLH) (Williams-Beuren syndrome chromosomal region 14 protein);Q9NP71;https://jaspar.elixir.no/search?q=Q9NP71;https://platform.opentargets.org/target/ENSG00000009950;1 Basic domains;1.2 Basic helix-loop-helix factors (bHLH);1.2.6 bHLH-ZIP;515;100;9;324;182;5_None;515;102.61;0.17;0.38;303;12.37;0.12;0.17;173;69.35;0.36;0.46;39;20.9;0.39;0.36;9;0.35;0.56;0.09;Cancer;#N/A;#N/A;0.01817101;0.005572032;#N/A;0.124447145;#N/A;0.108635054;0.007391597;0.002217479;0.03629063;#N/A;#N/A;#N/A;0.003695799;0.04334718;2;0.13;Y;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0829;SMAD3;ENSG00000166949;HGNC:6769;4088;Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3);P84022;https://jaspar.elixir.no/search?q=P84022;https://platform.opentargets.org/target/ENSG00000166949;7 beta-Hairpin exposed by an alpha/beta-scaffold;7.1 SMAD/NF-1 DNA-binding domain factors;7.1.1 SMAD;91;11;10;29;52;4_Low;1164;102.34;0.37;0.38;943;26.33;0.37;0.36;210;69.37;0.44;0.46;11;6.65;0.11;0.12;14;1.41;0.88;0.36;Cancer;#N/A;#N/A;0.087691934;0.018847313;0.0115945;0.489199351;0.085512871;0.012065746;0.008941779;0.361639461;0.011563012;0.025395279;0.016258929;0.046084131;0.00518192;0.227292426;4;0.27;Y;#N/A;Anti-Longevity;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;Anti-Longevity;Unclear;#N/A;Induces;#N/A;#N/A;10;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tchem;229;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
