basic_tfactortx_id;basic_gene_symbol;basic_ensembl_gene_id;basic_hgnc_id;basic_ncbi_gene_id;basic_protein_name;basic_uniprot_id;basic_jaspar_url;basic_open_targets_url;basic_tf_superclass;basic_tf_class;basic_tf_family;sort_disease_ot_ard_aging_sum_rank;sort_disease_ot_ard_aging_overall_rank;sort_disease_ot_total_assoc_score_rank;sort_disease_ot_ard_total_assoc_count_score_rank;sort_aging_summary_total_db_entries_count_rank;sort_dev_summary_dev_level_category;disease_ot_total_assoc_count;disease_ot_total_assoc_score;disease_ot_total_assoc_count_rank;disease_ot_total_assoc_score_rank;disease_ot_lowconf_count;disease_ot_lowconf_score;disease_ot_lowconf_count_rank;disease_ot_lowconf_score_rank;disease_ot_modconf_count;disease_ot_modconf_score;disease_ot_modconf_count_rank;disease_ot_modconf_score_rank;disease_ot_hiconf_count;disease_ot_hiconf_score;disease_ot_hiconf_count_rank;disease_ot_hiconf_score_rank;disease_ot_ard_disease_count;disease_ot_ard_total_score;disease_ot_ard_disease_count_rank;disease_ot_ard_total_score_rank;disease_ot_ard_strongest_linked_disease;disease_age-related hearing impairment;disease_age-related hearing impairment_rank;disease_age-related macular degeneration;disease_age-related macular degeneration_rank;disease_Alzheimer disease;disease_Alzheimer disease_rank;disease_atherosclerosis;disease_atherosclerosis_rank;disease_benign prostatic hyperplasia;disease_benign prostatic hyperplasia_rank;disease_cancer;disease_cancer_rank;disease_chronic obstructive pulmonary disease;disease_chronic obstructive pulmonary disease_rank;disease_heart failure;disease_heart failure_rank;disease_Ischemic stroke;disease_Ischemic stroke_rank;disease_myocardial infarction;disease_myocardial infarction_rank;disease_non-alcoholic fatty liver disease;disease_non-alcoholic fatty liver disease_rank;disease_osteoarthritis;disease_osteoarthritis_rank;disease_Osteoporosis;disease_Osteoporosis_rank;disease_Parkinson disease;disease_Parkinson disease_rank;disease_sarcopenia;disease_sarcopenia_rank;disease_type 2 diabetes mellitus;disease_type 2 diabetes mellitus_rank;aging_summary_total_db_entries_count;aging_summary_total_db_entries_count_norm;aging_summary_human;aging_summary_mm_influence;aging_summary_ce_influence;aging_summary_dm_influence;aging_PMID35343830_ce;aging_PMID35343830_dm;aging_PMID35343830_mm;aging_PMID35343830_human;aging_hagr_genage_human_inclusion;aging_hagr_genage_ce_influence;aging_hagr_genage_dm_influence;aging_hagr_genage_mm_influence;aging_hagr_cellage_effect;aging_hagr_longevitymap_entries;aging_agingreg_human_influence;aging_senequest_total_entries;aging_opengenes_ce_influence;aging_opengenes_dm_influence;aging_opengenes_mm_influence;aging_opengenes_human_longevity_assoc;dev_summary_total_db_entries_count;dev_summary_dev_level_category;dev_summary_dev_level_category_note;dev_pharos_tcrd_tdl;dev_dgidb_all_drugs;dev_dgidb_MOA_drugs;dev_ttd_approved_drugs;dev_chembl_target_id;dev_chembl_target_name;dev_chembl_target_type;dev_chembl_compounds;dev_chembl_activites;dev_chembl_drug_count;dev_chembl_max_phase;dev_chembl_modality_list;dev_chembl_first_approval_min
TFTX_0528;MESP2;ENSG00000188095;HGNC:29659;145873;Mesoderm posterior protein 2 (Class C basic helix-loop-helix protein 6) (bHLHc6);Q0VG99;#N/A;https://platform.opentargets.org/target/ENSG00000188095;1 Basic domains;1.2 Basic helix-loop-helix factors (bHLH);1.2.3 Tal-related;3276;1384;801;1307;1161;5_None;99;5.24;808;801;97;4.22;758;575;1;0.3;1201;1301;1;0.72;396;418;1;0.01;1158;1307;Cancer;0;43;0;213;0;923;0;430;0;288;0.005174118;1083;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1486;ZNF687;ENSG00000143373;HGNC:29277;57592;Zinc finger protein 687;Q8N1G0;#N/A;https://platform.opentargets.org/target/ENSG00000143373;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;3575;1492;1245;1162;1161;5_None;29;1.39;1211;1245;27;0.51;1185;1328;1;0.26;1201;1334;1;0.62;396;438;1;0.01;1158;1162;Cancer;0;43;0;213;0;923;0;430;0;288;0.012175603;882;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1052;ZBTB44;ENSG00000196323;HGNC:25001;29068;Zinc finger and BTB domain-containing protein 44 (BTB/POZ domain-containing protein 15) (Zinc finger protein 851);Q8NCP5;#N/A;https://platform.opentargets.org/target/ENSG00000196323;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;3673;1509;1323;1182;1161;5_None;18;1.05;1353;1323;16;0.27;1343;1457;1;0.28;1201;1318;1;0.51;396;599;1;0.01;1158;1182;Cancer;0;43;0;213;0;923;0;430;0;288;0.011066863;914;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0732;PRDM12;ENSG00000130711;HGNC:13997;59335;PR domain zinc finger protein 12 (EC 2.1.1.-) (PR domain-containing protein 12);Q9H4Q4;#N/A;https://platform.opentargets.org/target/ENSG00000130711;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.0 Uncharacterized/Undefined;2430;907;959;1033;407;5_None;85;3.33;863;959;82;1.82;823;897;2;0.68;1069;1097;1;0.82;396;398;1;0.02;1158;1033;Cancer;0;43;0;213;0;923;0;430;0;288;0.024543798;670;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0321;GSX1;ENSG00000169840;HGNC:20374;219409;GS homeobox 1 (Homeobox protein GSH-1);Q9H4S2;https://jaspar.elixir.no/search?q=Q9H4S2;https://platform.opentargets.org/target/ENSG00000169840;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.1 HOX;3605;1500;1098;1339;1161;5_None;38;2.27;1126;1098;35;1.2;1103;1045;2;0.54;1069;1155;1;0.52;396;552;1;0;1158;1339;Cancer;0;43;0;213;0;923;0;430;0;288;0.004250168;1133;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1002;VAX1;ENSG00000148704;HGNC:12660;11023;Ventral anterior homeobox 1;Q5SQQ9;https://jaspar.elixir.no/search?q=Q5SQQ9;https://platform.opentargets.org/target/ENSG00000148704;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.2 NK;2570;976;825;1307;407;5_None;115;4.93;752;825;111;3.51;713;639;3;0.84;967;1031;1;0.58;396;449;1;0.01;1158;1307;Cancer;0;43;0;213;0;923;0;430;0;288;0.005174118;1083;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1369;ZNF532;ENSG00000074657;HGNC:30940;55205;Zinc finger protein 532;Q9HCE3;#N/A;https://platform.opentargets.org/target/ENSG00000074657;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;3444;1446;881;1395;1161;5_None;90;4.3;834;881;86;2.87;804;714;3;0.92;967;999;1;0.51;396;590;1;0;1158;1395;Cancer;0;43;0;213;0;923;0;430;0;288;0.003028502;1224;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0313;GMEB2;ENSG00000101216;HGNC:4371;26205;Glucocorticoid modulatory element-binding protein 2 (GMEB-2) (DNA-binding protein p79PIF) (Parvovirus initiation factor p79) (PIF p79);Q9UKD1;https://jaspar.elixir.no/search?q=Q9UKD1;https://platform.opentargets.org/target/ENSG00000101216;5 alpha-Helices exposed by beta-structures;5.3 SAND domain factors;5.3.3 GMEB;1855;625;941;476;407;5_None;35;3.55;1150;941;31;2.34;1137;802;3;0.71;967;1090;1;0.5;396;624;1;0.19;1158;476;Cancer;0;43;0;213;0;923;0;430;0;288;0.186097059;43;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1513;ZNF711;ENSG00000147180;HGNC:13128;7552;Zinc finger protein 711 (Zinc finger protein 6);Q9Y462;#N/A;https://platform.opentargets.org/target/ENSG00000147180;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;2272;828;889;1201;127;5_None;86;4.19;858;889;82;2.31;823;808;3;1.1;967;957;1;0.78;396;408;1;0.01;1158;1201;Cancer;0;43;0;213;0;923;0;430;0;288;0.009958124;940;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;2;0.15;Y;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0009;AHCTF1;ENSG00000153207;HGNC:24618;25909;Protein ELYS (Embryonic large molecule derived from yolk sac) (Protein MEL-28) (Putative AT-hook-containing transcription factor 1);Q8WYP5;#N/A;https://platform.opentargets.org/target/ENSG00000153207;0 Yet undefined DNA-binding domains;0.0 Uncharacterized;0.0.0 Uncharacterized/Undefined;2652;1018;1096;1118;407;5_None;26;2.31;1245;1096;22;0.93;1252;1136;3;0.86;967;1029;1;0.52;396;568;1;0.02;1158;1118;Cancer;0;43;0;213;0;923;0;430;0;288;0.01613832;795;0;526;0;358;0;251;0;378;0;352;0;353;0;327;0;497;0;134;0;694;1;0.08;N;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
