Gene Name;Overall Rank;All Diseases Rank;ARDs Rank;Strongest Linked ARD;Aging Rank;Human Link Y/N;M. musculus Link;C. elegans Link;D. melanogaster Link;Development Level;Pharos TDL
TP53;1;1;4;Cancer;1;Yes;Unclear;Anti-Longevity;Unclear;Medium;Tchem
PPARG;2;6;3;Type 2 Diabetes Mellitus;6;Yes;Pro-Longevity;Unclear;None;High;Tclin
NR3C1;3;2;1;Chronic Obstructive Pulmonary Disease;34;Yes;None;Unclear;None;High;Tclin
ESR1;4;4;14;Cancer;34;Yes;None;Unclear;None;High;Tclin
STAT3;5;29;12;Cancer;14;Yes;Pro-Longevity;None;Pro-Longevity;Medium;Tchem
AR;6;8;19;Cancer;34;Yes;Pro-Longevity;None;None;High;Tclin
MYC;7;15;52;Cancer;3;Yes;Anti-Longevity;None;Anti-Longevity;Low;Tchem
NFE2L2;8;26;44;Cancer;6;Yes;Pro-Longevity;Pro-Longevity;Unclear;High;Tchem
NFKB1;9;32;35;Osteoarthritis;10;Yes;Unclear;None;Anti-Longevity;High;Tclin
VDR;10;43;2;Type 2 Diabetes Mellitus;34;Yes;None;Unclear;None;High;Tclin
SMAD3;11;10;29;Cancer;62;Yes;None;Anti-Longevity;Unclear;Low;Tchem
FOXO3;12;40;62;Alzheimer Disease;2;Yes;Pro-Longevity;Pro-Longevity;Unclear;Low;Tbio
HIF1A;13;73;28;Alzheimer Disease;6;Yes;Pro-Longevity;Unclear;Anti-Longevity;Medium;Tchem
FOXO1;14;35;86;Osteoarthritis;3;Yes;Pro-Longevity;Pro-Longevity;Unclear;Low;Tbio
ERG;15;38;25;Benign Prostatic Hyperplasia;62;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
HNF4A;16;41;31;Type 2 Diabetes Mellitus;62;Yes;None;Unclear;None;Medium;Tchem
TBX3;17;23;54;Chronic Obstructive Pulmonary Disease;62;Yes;None;None;None;None;Tbio
KLF4;18;87;26;Myocardial Infarction;34;Yes;Pro-Longevity;None;None;Low;Tbio
ZFHX3;18;12;8;Heart Failure;127;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
PPARA;20;131;13;Type 2 Diabetes Mellitus;10;Yes;Pro-Longevity;Unclear;None;High;Tclin
BCL11A;21;28;17;Cancer;127;Yes;Unclear;None;None;None;Tbio
THRB;22;62;53;Non-Alcoholic Fatty Liver Disease;62;Yes;None;Unclear;None;High;Tclin
ARNTL;23;139;24;Osteoarthritis;25;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
PGR;24;76;56;Cancer;62;Yes;None;Unclear;None;High;Tclin
RARB;25;63;82;Chronic Obstructive Pulmonary Disease;62;Yes;None;Unclear;Anti-Longevity;High;Tclin
HMGA2;26;46;38;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
CREB1;27;142;58;Alzheimer Disease;14;Yes;Unclear;Unclear;None;Medium to Low;Tbio
ETV6;28;44;46;Cancer;127;Yes;None;Pro-Longevity;Pro-Longevity;Low;Tbio
STAT5B;29;105;100;Cancer;14;Yes;Pro-Longevity;None;Pro-Longevity;Low;Tchem
CUX1;30;45;50;Cancer;127;Yes;None;None;None;Medium to Low;Tbio
NR3C2;31;91;6;Myocardial Infarction;127;Yes;None;Unclear;None;High;Tclin
JUN;32;155;36;Cancer;34;Yes;Pro-Longevity;None;None;Low;Tchem
NFKB2;33;103;93;Alzheimer Disease;34;Yes;Pro-Longevity;None;None;Medium;Tchem
ETS1;34;92;114;Type 2 Diabetes Mellitus;25;Yes;None;Pro-Longevity;Anti-Longevity;None;Tbio
SMAD4;35;34;145;Cancer;62;Yes;None;Anti-Longevity;None;Low;Tbio
AHR;36;82;134;Cancer;34;Yes;Anti-Longevity;Anti-Longevity;None;High;Tclin
RUNX1;37;7;188;Cancer;62;Yes;None;None;None;Low;Tbio
ESR2;38;109;23;Cancer;127;Yes;None;Unclear;None;High;Tclin
